,0,1
579,1.866e-05,8.94e-06
580,2.45e-05,7.75e-06
581,1.8e-05,7.3e-06
582,2.384e-05,1.11e-05
583,3.62e-05,1.884e-05
584,4.447e-05,2.176e-05
585,1.87e-05,6.2e-06
586,1.06e-05,4.95e-06
587,0.0001335,2.605e-05
588,2.04e-05,8.64e-06
589,1.61e-05,7.15e-06
590,1.395e-05,5.3e-06
591,2.46e-05,8.3e-06
592,8.17e-06,4e-06
593,2.79e-05,1.19e-05
594,1.44e-05,5.9e-06
595,2.75e-05,1.41e-05
596,1.276e-05,6e-06
597,1.95e-05,9.3e-06
598,3.38e-05,8.4e-06
599,1.88e-05,6e-06
600,4.38e-05,1.746e-05
601,1.556e-05,8.17e-06
602,8.88e-05,2.47e-05
603,2.944e-05,1.23e-05
604,2.54e-05,9.66e-06
605,1.72e-05,7.8e-06
606,3.08e-05,1.19e-05
607,1.98e-05,6.6e-06
608,2.503e-05,1.4e-05
609,1.94e-05,1.144e-05
610,2.52e-05,1.115e-05
611,2.44e-05,7.7e-06
612,2.193e-05,7.57e-06
613,1.645e-05,1.025e-05
614,3.53e-05,1.365e-05
615,8.28e-05,2.86e-05
616,2.4e-05,1.377e-05
617,1.35e-05,4.95e-06
618,2.426e-05,9.36e-06
619,2.635e-05,8.64e-06
620,2.58e-05,8.64e-06
621,3.58e-05,1.16e-05
622,1.76e-05,8.05e-06
623,1.95e-05,9.24e-06
624,2.92e-05,8.8e-06
625,1.866e-05,7.2e-06
626,8.05e-06,5.96e-06
627,1.07e-05,4.95e-06
628,2.3e-05,8.1e-06
629,2e-05,9.8e-06
630,1.41e-05,5.2e-06
631,1.7e-05,8.3e-06
632,1.41e-05,6.26e-06
633,2.19e-05,7.9e-06
634,6.604e-05,1.496e-05
635,1.62e-05,6.14e-06
636,1.013e-05,4.53e-06
637,1.806e-05,6.4e-06
638,1.95e-05,6.85e-06
639,1.884e-05,6.8e-06
640,2.56e-05,1.43e-05
641,3.994e-05,1.26e-05
642,1.425e-05,5.36e-06
643,4.92e-05,2.23e-05
644,3.946e-05,1.35e-05
645,1.264e-05,4.95e-06
646,1.35e-05,5.07e-06
647,1.89e-05,8.8e-06
648,2.15e-05,7.2e-06
649,1.68e-05,9.24e-06
650,2.515e-05,1.574e-05
651,2.74e-05,8.1e-06
652,1.645e-05,7.7e-06
653,3.02e-05,1.043e-05
654,1.86e-05,7.4e-06
655,4.74e-05,1.305e-05
656,1.943e-05,8e-06
657,1.23e-05,5.66e-06
658,8.5e-06,3.9e-06
659,3.314e-05,1.806e-05
660,4.834e-05,1.454e-05
661,3.25e-05,9.95e-06
662,1.4e-05,7.1e-06
663,1.377e-05,5.1e-06
664,3.16e-05,1.085e-05
665,1.705e-05,6e-06
666,2.31e-05,9.3e-06
667,1.305e-05,4.4e-06
668,2.253e-05,9.06e-06
669,1.526e-05,6.1e-06
670,1.466e-05,5.4e-06
671,2.223e-05,7.5e-06
672,2.104e-05,1.144e-05
673,3.1e-05,9.2e-06
674,1.5e-05,6e-06
675,2.64e-05,1.055e-05
676,3.29e-05,1.53e-05
677,2.06e-05,8.17e-06
678,1.52e-05,6.3e-06
679,1.01e-05,4.4e-06
680,3.63e-05,9.7e-06
681,8.64e-06,4.5e-06
682,2.37e-05,1.01e-05
683,3.314e-05,1.15e-05
684,2.56e-05,8.3e-06
685,1.36e-05,7.7e-06
686,1.51e-05,6.74e-06
687,0.0001083,2.307e-05
688,1.14e-05,6.6e-06
689,4.62e-05,1.454e-05
690,4.52e-05,1.174e-05
691,1.657e-05,5.54e-06
692,1.09e-05,6.2e-06
693,1.305e-05,7.1e-06
694,1.62e-05,5.7e-06
695,3.225e-05,9.7e-06
696,2.75e-05,1.234e-05
697,1.013e-05,4.23e-06
698,2.72e-05,1.246e-05
699,1.556e-05,6.3e-06
700,1.884e-05,1.05e-05
701,4.6e-05,2.02e-05
702,1.69e-05,8.05e-06
703,1.25e-05,6.4e-06
704,1.895e-05,6.5e-06
705,2.587e-05,9.24e-06
706,3e-05,1.4e-05
707,1.067e-05,5.07e-06
708,2.474e-05,6.9e-06
709,1.335e-05,4.5e-06
710,1.806e-05,8.76e-06
711,1.127e-05,4.7e-06
712,1.144e-05,5.8e-06
713,1.58e-05,6.5e-06
714,2.074e-05,1.353e-05
715,2.646e-05,8.6e-06
716,1.36e-05,4.65e-06
717,0.0001947,3.73e-05
718,3.7e-05,1.76e-05
719,2.31e-05,9.3e-06
720,3.415e-05,9.36e-06
721,1.925e-05,8.94e-06
722,1.58e-05,6.1e-06
723,8.17e-06,3.7e-06
724,7.6e-06,3.93e-06
725,1.514e-05,5.5e-06
726,1.55e-05,6.3e-06
727,1.57e-05,7.45e-06
728,2.04e-05,6.2e-06
729,5.11e-05,2.575e-05
730,2.3e-05,9.4e-06
731,1.085e-05,4.23e-06
732,1.47e-05,6.9e-06
733,4.345e-05,1.043e-05
734,5.037e-05,2.015e-05
735,7.4e-06,3.9e-06
736,4.715e-05,1.323e-05
